,Year,Month,Unemployment Rate,Date,Age,Unemployment level,Employment Level,RoC_Unemployment_level,RoC_Unemployment_rate,RoC_Employment_level
2566,2019,Nov,2.5,2019-11,45 to 54 years,832,32056,-44,0.1,-322
2567,2020,Nov,5.4,2020-11,45 to 54 years,1739,30182,907,-2.9,-1874
2568,2021,Nov,3,2021-11,45 to 54 years,961,30904,-778,2.4,722
2569,2022,Nov,2.7,2022-11,45 to 54 years,865,31550,-96,0.3,646
2570,1969,Dec,2,1969-12,45 to 54 years,346,16539,-519,0.7,-15011
2571,1970,Dec,3.4,1970-12,45 to 54 years,573,16471,227,-1.4,-68
2572,1971,Dec,3.5,1971-12,45 to 54 years,600,16452,27,-0.1,-19
2573,1972,Dec,2.7,1972-12,45 to 54 years,450,16461,-150,0.8,9
2574,1973,Dec,2.6,1973-12,45 to 54 years,451,16597,1,0.1,136
2575,1974,Dec,4,1974-12,45 to 54 years,689,16389,238,-1.4,-208
2576,1975,Dec,5,1975-12,45 to 54 years,845,16168,156,-1,-221
2577,1976,Dec,4.8,1976-12,45 to 54 years,811,16166,-34,0.2,-2
2578,1977,Dec,3.5,1977-12,45 to 54 years,585,16361,-226,1.3,195
2579,1978,Dec,3.2,1978-12,45 to 54 years,547,16424,-38,0.3,63
2580,1979,Dec,3.1,1979-12,45 to 54 years,525,16449,-22,0.1,25
2581,1980,Dec,4.1,1980-12,45 to 54 years,687,16236,162,-1,-213
2582,1981,Dec,4.9,1981-12,45 to 54 years,826,16081,139,-0.8,-155
2583,1982,Dec,6.4,1982-12,45 to 54 years,1072,15748,246,-1.5,-333
2584,1983,Dec,5.5,1983-12,45 to 54 years,935,15957,-137,0.9,209
2585,1984,Dec,5,1984-12,45 to 54 years,856,16274,-79,0.5,317
2586,1985,Dec,4.6,1985-12,45 to 54 years,799,16677,-57,0.4,403
2587,1986,Dec,4.1,1986-12,45 to 54 years,727,17213,-72,0.5,536
2588,1987,Dec,3.5,1987-12,45 to 54 years,643,17936,-84,0.6,723
2589,1988,Dec,3.5,1988-12,45 to 54 years,687,18795,44,0,859
2590,1989,Dec,3.3,1989-12,45 to 54 years,675,19552,-12,0.2,757
2591,1990,Dec,4.4,1990-12,45 to 54 years,893,19578,218,-1.1,26
2592,1991,Dec,4.8,1991-12,45 to 54 years,1026,20219,133,-0.4,641
2593,1992,Dec,4.9,1992-12,45 to 54 years,1120,21515,94,-0.1,1296
2594,1993,Dec,4.4,1993-12,45 to 54 years,1043,22927,-77,0.5,1412
2595,1994,Dec,3.4,1994-12,45 to 54 years,849,23901,-194,1,974
2596,1995,Dec,3.4,1995-12,45 to 54 years,877,24782,28,0,881
2597,1996,Dec,3.4,1996-12,45 to 54 years,906,25967,29,0,1185
2598,1997,Dec,2.9,1997-12,45 to 54 years,817,27136,-89,0.5,1169
2599,1998,Dec,2.6,1998-12,45 to 54 years,762,28111,-55,0.3,975
2600,1999,Dec,2.7,1999-12,45 to 54 years,800,29198,38,-0.1,1087
2601,2000,Dec,2.5,2000-12,45 to 54 years,800,30737,0,0.2,1539
2602,2001,Dec,3.7,2001-12,45 to 54 years,1183,31104,383,-1.2,367
2603,2002,Dec,4.1,2002-12,45 to 54 years,1334,31449,151,-0.4,345
2604,2003,Dec,3.9,2003-12,45 to 54 years,1294,32296,-40,0.2,847
2605,2004,Dec,3.8,2004-12,45 to 54 years,1277,32555,-17,0.1,259
2606,2005,Dec,3.4,2005-12,45 to 54 years,1168,33486,-109,0.4,931
2607,2006,Dec,2.9,2006-12,45 to 54 years,1017,34479,-151,0.5,993
2608,2007,Dec,3.5,2007-12,45 to 54 years,1260,34760,243,-0.6,281
2609,2008,Dec,5.6,2008-12,45 to 54 years,2027,34116,767,-2.1,-644
2610,2009,Dec,7.8,2009-12,45 to 54 years,2828,33290,801,-2.2,-826
2611,2010,Dec,7.5,2010-12,45 to 54 years,2686,33227,-142,0.3,-63
2612,2011,Dec,6.5,2011-12,45 to 54 years,2292,32940,-394,1,-287
2613,2012,Dec,5.8,2012-12,45 to 54 years,2022,32675,-270,0.7,-265
2614,2013,Dec,5,2013-12,45 to 54 years,1721,32371,-301,0.8,-304
2615,2014,Dec,4,2014-12,45 to 54 years,1353,32597,-368,1,226
2616,2015,Dec,3.7,2015-12,45 to 54 years,1239,32577,-114,0.3,-20
2617,2016,Dec,3.3,2016-12,45 to 54 years,1125,32602,-114,0.4,25
2618,2017,Dec,2.8,2017-12,45 to 54 years,926,32570,-199,0.5,-32
2619,2018,Dec,2.9,2018-12,45 to 54 years,977,32227,51,-0.1,-343
2620,2019,Dec,2.6,2019-12,45 to 54 years,846,32009,-131,0.3,-218
2621,2020,Dec,5.3,2020-12,45 to 54 years,1706,30297,860,-2.7,-1712
2622,2021,Dec,2.8,2021-12,45 to 54 years,875,30943,-831,2.5,646
2623,2022,Dec,2.3,2022-12,45 to 54 years,746,31799,-129,0.5,856
2624,1969,Jan,2,1969-01,55 years and above,277,13889,-469,0.3,-17910
2625,1970,Jan,2.1,1970-01,55 years and above,298,14122,21,-0.1,233
2626,1971,Jan,3.7,1971-01,55 years and above,536,14130,238,-1.6,8
2627,1972,Jan,3.2,1972-01,55 years and above,463,14163,-73,0.5,33
2628,1973,Jan,2.8,1973-01,55 years and above,403,13788,-60,0.4,-375
2629,1974,Jan,2.8,1974-01,55 years and above,391,13823,-12,0,35
2630,1975,Jan,4.2,1975-01,55 years and above,601,13669,210,-1.4,-154
2631,1976,Jan,4.6,1976-01,55 years and above,661,13652,60,-0.4,-17
2632,1977,Jan,4.3,1977-01,55 years and above,614,13702,-47,0.3,50
2633,1978,Jan,3.5,1978-01,55 years and above,520,14191,-94,0.8,489
2634,1979,Jan,2.9,1979-01,55 years and above,445,14661,-75,0.6,470
2635,1980,Jan,3.4,1980-01,55 years and above,511,14632,66,-0.5,-29
2636,1981,Jan,3.5,1981-01,55 years and above,523,14450,12,-0.1,-182
2637,1982,Jan,4.2,1982-01,55 years and above,631,14319,108,-0.7,-131
2638,1983,Jan,5.5,1983-01,55 years and above,822,14232,191,-1.3,-87
2639,1984,Jan,4.7,1984-01,55 years and above,707,14253,-115,0.8,21
2640,1985,Jan,4.3,1985-01,55 years and above,643,14218,-64,0.4,-35
2641,1986,Jan,3.9,1986-01,55 years and above,586,14326,-57,0.4,108
2642,1987,Jan,3.2,1987-01,55 years and above,478,14430,-108,0.7,104
2643,1988,Jan,3.4,1988-01,55 years and above,512,14579,34,-0.2,149
2644,1989,Jan,3,1989-01,55 years and above,464,14929,-48,0.4,350
2645,1990,Jan,3.4,1990-01,55 years and above,516,14572,52,-0.4,-357
2646,1991,Jan,3.5,1991-01,55 years and above,525,14358,9,-0.1,-214
2647,1992,Jan,4.4,1992-01,55 years and above,656,14358,131,-0.9,0
2648,1993,Jan,4.4,1993-01,55 years and above,651,14234,-5,0,-124
2649,1994,Jan,4.5,1994-01,55 years and above,707,14953,56,-0.1,719
2650,1995,Jan,3.9,1995-01,55 years and above,607,15084,-100,0.6,131
2651,1996,Jan,3.6,1996-01,55 years and above,568,15179,-39,0.3,95
2652,1997,Jan,3.1,1997-01,55 years and above,505,15802,-63,0.5,623
2653,1998,Jan,2.7,1998-01,55 years and above,450,16385,-55,0.4,583
2654,1999,Jan,2.8,1999-01,55 years and above,495,16873,45,-0.1,488
2655,2000,Jan,2.7,2000-01,55 years and above,490,17957,-5,0.1,1084
2656,2001,Jan,2.7,2001-01,55 years and above,524,18519,34,0,562
2657,2002,Jan,3.6,2002-01,55 years and above,715,19345,191,-0.9,826
2658,2003,Jan,4.1,2003-01,55 years and above,903,20871,188,-0.5,1526
2659,2004,Jan,3.7,2004-01,55 years and above,826,21749,-77,0.4,878
2660,2005,Jan,3.5,2005-01,55 years and above,818,22621,-8,0.2,872
2661,2006,Jan,3.1,2006-01,55 years and above,780,24101,-38,0.4,1480
2662,2007,Jan,3.3,2007-01,55 years and above,863,24978,83,-0.2,877
2663,2008,Jan,3.3,2008-01,55 years and above,895,26433,32,0,1455
2664,2009,Jan,5.4,2009-01,55 years and above,1548,27187,653,-2.1,754
2665,2010,Jan,6.9,2010-01,55 years and above,2025,27430,477,-1.5,243
2666,2011,Jan,6.7,2011-01,55 years and above,2040,28238,15,0.2,808
2667,2012,Jan,5.9,2012-01,55 years and above,1867,29873,-173,0.8,1635
2668,2013,Jan,6,2013-01,55 years and above,1978,31185,111,-0.1,1312
2669,2014,Jan,4.5,2014-01,55 years and above,1515,31844,-463,1.5,659
2670,2015,Jan,4.1,2015-01,55 years and above,1425,33030,-90,0.4,1186
2671,2016,Jan,3.7,2016-01,55 years and above,1309,34101,-116,0.4,1071
2672,2017,Jan,3.5,2017-01,55 years and above,1259,34830,-50,0.2,729
2673,2018,Jan,2.9,2018-01,55 years and above,1069,35446,-190,0.6,616
2674,2019,Jan,3.1,2019-01,55 years and above,1188,36722,119,-0.2,1276
2675,2020,Jan,2.5,2020-01,55 years and above,973,37606,-215,0.6,884
2676,2021,Jan,5.2,2021-01,55 years and above,1945,35310,972,-2.7,-2296
2677,2022,Jan,3.1,2022-01,55 years and above,1179,37183,-766,2.1,1873
2678,2023,Jan,2.3,2023-01,55 years and above,874,37468,-305,0.8,285
2679,1969,Feb,2.1,1969-02,55 years and above,295,14047,-579,0.2,-23421
2680,1970,Feb,2.4,1970-02,55 years and above,352,14178,57,-0.3,131
2681,1971,Feb,3.6,1971-02,55 years and above,524,13958,172,-1.2,-220
2682,1972,Feb,3.2,1972-02,55 years and above,464,14052,-60,0.4,94
2683,1973,Feb,2.8,1973-02,55 years and above,393,13891,-71,0.4,-161
2684,1974,Feb,2.8,1974-02,55 years and above,406,13911,13,0,20
2685,1975,Feb,4.5,1975-02,55 years and above,642,13677,236,-1.7,-234
2686,1976,Feb,4.6,1976-02,55 years and above,651,13641,9,-0.1,-36
2687,1977,Feb,4.7,1977-02,55 years and above,672,13715,21,-0.1,74
2688,1978,Feb,3.3,1978-02,55 years and above,485,14170,-187,1.4,455
2689,1979,Feb,3.1,1979-02,55 years and above,464,14634,-21,0.2,464
2690,1980,Feb,2.9,1980-02,55 years and above,439,14742,-25,0.2,108
2691,1981,Feb,3.6,1981-02,55 years and above,546,14508,107,-0.7,-234
2692,1982,Feb,4.4,1982-02,55 years and above,659,14205,113,-0.8,-303
2693,1983,Feb,5.6,1983-02,55 years and above,837,14198,178,-1.2,-7
2694,1984,Feb,4.4,1984-02,55 years and above,660,14315,-177,1.2,117
2695,1985,Feb,4,1985-02,55 years and above,590,14296,-70,0.4,-19
2696,1986,Feb,4.3,1986-02,55 years and above,635,14123,45,-0.3,-173
2697,1987,Feb,3,1987-02,55 years and above,450,14357,-185,1.3,234
2698,1988,Feb,3.2,1988-02,55 years and above,480,14656,30,-0.2,299
2699,1989,Feb,3,1989-02,55 years and above,455,14822,-25,0.2,166
2700,1990,Feb,3.3,1990-02,55 years and above,492,14535,37,-0.3,-287
2701,1991,Feb,3.8,1991-02,55 years and above,565,14345,73,-0.5,-190
2702,1992,Feb,4.4,1992-02,55 years and above,664,14353,99,-0.6,8
2703,1993,Feb,4.3,1993-02,55 years and above,656,14447,-8,0.1,94
2704,1994,Feb,4.5,1994-02,55 years and above,690,14792,34,-0.2,345
2705,1995,Feb,3.6,1995-02,55 years and above,554,15038,-136,0.9,246
2706,1996,Feb,3.7,1996-02,55 years and above,583,15308,29,-0.1,270
2707,1997,Feb,3.1,1997-02,55 years and above,498,15792,-85,0.6,484
2708,1998,Feb,2.6,1998-02,55 years and above,442,16423,-56,0.5,631
2709,1999,Feb,2.8,1999-02,55 years and above,484,16953,42,-0.2,530
2710,2000,Feb,2.8,2000-02,55 years and above,524,18049,40,0,1096
2711,2001,Feb,2.8,2001-02,55 years and above,524,18516,0,0,467
2712,2002,Feb,3.9,2002-02,55 years and above,785,19499,261,-1.1,983
2713,2003,Feb,3.9,2003-02,55 years and above,853,20905,68,0,1406
2714,2004,Feb,3.8,2004-02,55 years and above,861,21916,8,0.1,1011
2715,2005,Feb,3.6,2005-02,55 years and above,853,22870,-8,0.2,954
2716,2006,Feb,2.9,2006-02,55 years and above,728,24175,-125,0.7,1305
2717,2007,Feb,3.1,2007-02,55 years and above,802,25291,74,-0.2,1116
2718,2008,Feb,3.3,2008-02,55 years and above,898,26571,96,-0.2,1280
2719,2009,Feb,5.8,2009-02,55 years and above,1652,27018,754,-2.5,447
2720,2010,Feb,7.2,2010-02,55 years and above,2141,27463,489,-1.4,445
2721,2011,Feb,6.5,2011-02,55 years and above,1977,28435,-164,0.7,972
2722,2012,Feb,5.8,2012-02,55 years and above,1868,30163,-109,0.7,1728
2723,2013,Feb,5.7,2013-02,55 years and above,1895,31217,27,0.1,1054
2724,2014,Feb,4.5,2014-02,55 years and above,1512,32081,-383,1.2,864
2725,2015,Feb,4.2,2015-02,55 years and above,1448,32780,-64,0.3,699
2726,2016,Feb,3.8,2016-02,55 years and above,1337,34205,-111,0.4,1425
2727,2017,Feb,3.4,2017-02,55 years and above,1231,34916,-106,0.4,711
2728,2018,Feb,3.2,2018-02,55 years and above,1182,35733,-49,0.2,817
2729,2019,Feb,2.6,2019-02,55 years and above,1005,37093,-177,0.6,1360
2730,2020,Feb,2.5,2020-02,55 years and above,973,37758,-32,0.1,665
2731,2021,Feb,5.3,2021-02,55 years and above,1972,35323,999,-2.8,-2435
2732,2022,Feb,2.9,2022-02,55 years and above,1130,37287,-842,2.4,1964
2733,2023,Feb,2.5,2023-02,55 years and above,957,37100,-173,0.4,-187
2734,1969,Mar,1.9,1969-03,55 years and above,273,14063,-684,0.6,-23037
2735,1970,Mar,2.7,1970-03,55 years and above,396,14220,123,-0.8,157
2736,1971,Mar,3.4,1971-03,55 years and above,492,14011,96,-0.7,-209
2737,1972,Mar,3.3,1972-03,55 years and above,480,14072,-12,0.1,61
2738,1973,Mar,2.6,1973-03,55 years and above,372,13905,-108,0.7,-167
2739,1974,Mar,2.6,1974-03,55 years and above,378,13906,6,0,1
2740,1975,Mar,4.6,1975-03,55 years and above,656,13646,278,-2,-260
2741,1976,Mar,4.7,1976-03,55 years and above,676,13575,20,-0.1,-71
2742,1977,Mar,4.3,1977-03,55 years and above,619,13749,-57,0.4,174
2743,1978,Mar,3.2,1978-03,55 years and above,465,14197,-154,1.1,448
2744,1979,Mar,3.2,1979-03,55 years and above,475,14600,10,0,403
2745,1980,Mar,2.9,1980-03,55 years and above,429,14590,-46,0.3,-10
2746,1981,Mar,3.7,1981-03,55 years and above,562,14574,133,-0.8,-16
2747,1982,Mar,4.7,1982-03,55 years and above,703,14339,141,-1,-235
2748,1983,Mar,5.4,1983-03,55 years and above,815,14162,112,-0.7,-177
2749,1984,Mar,4.3,1984-03,55 years and above,646,14228,-169,1.1,66
2750,1985,Mar,3.9,1985-03,55 years and above,595,14474,-51,0.4,246
2751,1986,Mar,4.2,1986-03,55 years and above,630,14211,35,-0.3,-263
2752,1987,Mar,3.5,1987-03,55 years and above,519,14404,-111,0.7,193
2753,1988,Mar,3.1,1988-03,55 years and above,459,14558,-60,0.4,154
2754,1989,Mar,2.7,1989-03,55 years and above,417,14904,-42,0.4,346
2755,1990,Mar,3.2,1990-03,55 years and above,482,14504,65,-0.5,-400
2756,1991,Mar,4,1991-03,55 years and above,601,14340,119,-0.8,-164
2757,1992,Mar,4.5,1992-03,55 years and above,676,14479,75,-0.5,139
2758,1993,Mar,4.3,1993-03,55 years and above,641,14353,-35,0.2,-126
2759,1994,Mar,4.5,1994-03,55 years and above,694,14639,53,-0.2,286
2760,1995,Mar,3.5,1995-03,55 years and above,543,14995,-151,1,356
2761,1996,Mar,3.6,1996-03,55 years and above,571,15306,28,-0.1,311
2762,1997,Mar,3.2,1997-03,55 years and above,521,15988,-50,0.4,682
2763,1998,Mar,2.7,1998-03,55 years and above,459,16336,-62,0.5,348
2764,1999,Mar,2.8,1999-03,55 years and above,488,17023,29,-0.1,687
2765,2000,Mar,2.7,2000-03,55 years and above,504,18079,16,0.1,1056
2766,2001,Mar,2.7,2001-03,55 years and above,520,18601,16,0,522
2767,2002,Mar,3.6,2002-03,55 years and above,732,19412,212,-0.9,811
2768,2003,Mar,3.9,2003-03,55 years and above,861,20950,129,-0.3,1538
2769,2004,Mar,3.7,2004-03,55 years and above,856,22006,-5,0.2,1056
2770,2005,Mar,3.5,2005-03,55 years and above,822,22917,-34,0.2,911
2771,2006,Mar,2.6,2006-03,55 years and above,657,24324,-165,0.9,1407
2772,2007,Mar,3.1,2007-03,55 years and above,821,25439,164,-0.5,1115
2773,2008,Mar,3.4,2008-03,55 years and above,943,26619,122,-0.3,1180
2774,2009,Mar,6.3,2009-03,55 years and above,1815,26918,872,-2.9,299
2775,2010,Mar,6.9,2010-03,55 years and above,2064,27675,249,-0.6,757
2776,2011,Mar,6.5,2011-03,55 years and above,1980,28505,-84,0.4,830
2777,2012,Mar,6.2,2012-03,55 years and above,1991,30172,11,0.3,1667
2778,2013,Mar,5.5,2013-03,55 years and above,1813,31274,-178,0.7,1102
2779,2014,Mar,4.7,2014-03,55 years and above,1560,31958,-253,0.8,684
2780,2015,Mar,3.9,2015-03,55 years and above,1337,33184,-223,0.8,1226
2781,2016,Mar,3.9,2016-03,55 years and above,1380,34234,43,0,1050
2782,2017,Mar,3.3,2017-03,55 years and above,1187,35136,-193,0.6,902
2783,2018,Mar,3.2,2018-03,55 years and above,1173,35736,-14,0.1,600
2784,2019,Mar,2.7,2019-03,55 years and above,1008,36801,-165,0.5,1065
2785,2020,Mar,3.4,2020-03,55 years and above,1286,36886,278,-0.7,85
2786,2021,Mar,4.6,2021-03,55 years and above,1727,35599,441,-1.2,-1287
2787,2022,Mar,2.6,2022-03,55 years and above,1004,37271,-723,2,1672
2788,2023,Mar,2.6,2023-03,55 years and above,1009,37250,5,0,-21
2789,1969,Apr,1.9,1969-04,55 years and above,275,14098,-734,0.7,-23152
2790,1970,Apr,2.7,1970-04,55 years and above,387,14180,112,-0.8,82
2791,1971,Apr,3.5,1971-04,55 years and above,508,14006,121,-0.8,-174
2792,1972,Apr,3.6,1972-04,55 years and above,516,13977,8,-0.1,-29
2793,1973,Apr,2.5,1973-04,55 years and above,355,13830,-161,1.1,-147
2794,1974,Apr,2.6,1974-04,55 years and above,366,13933,11,-0.1,103
2795,1975,Apr,4.9,1975-04,55 years and above,710,13656,344,-2.3,-277
2796,1976,Apr,4.6,1976-04,55 years and above,656,13539,-54,0.3,-117
2797,1977,Apr,4.1,1977-04,55 years and above,592,13877,-64,0.5,338
2798,1978,Apr,3.2,1978-04,55 years and above,471,14326,-121,0.9,449
2799,1979,Apr,3,1979-04,55 years and above,444,14478,-27,0.2,152
2800,1980,Apr,3.3,1980-04,55 years and above,494,14574,50,-0.3,96
2801,1981,Apr,3.3,1981-04,55 years and above,503,14640,9,0,66
2802,1982,Apr,5,1982-04,55 years and above,750,14351,247,-1.7,-289
2803,1983,Apr,5.8,1983-04,55 years and above,861,14112,111,-0.8,-239
2804,1984,Apr,4.4,1984-04,55 years and above,656,14276,-205,1.4,164
2805,1985,Apr,4.1,1985-04,55 years and above,616,14332,-40,0.3,56
2806,1986,Apr,3.9,1986-04,55 years and above,579,14259,-37,0.2,-73
2807,1987,Apr,3.5,1987-04,55 years and above,516,14335,-63,0.4,76
2808,1988,Apr,3,1988-04,55 years and above,458,14656,-58,0.5,321
2809,1989,Apr,2.9,1989-04,55 years and above,447,14894,-11,0.1,238
2810,1990,Apr,3.2,1990-04,55 years and above,483,14477,36,-0.3,-417
2811,1991,Apr,3.8,1991-04,55 years and above,566,14394,83,-0.6,-83
2812,1992,Apr,4.8,1992-04,55 years and above,721,14392,155,-1,-2
2813,1993,Apr,4.2,1993-04,55 years and above,625,14280,-96,0.6,-112
2814,1994,Apr,4.2,1994-04,55 years and above,647,14707,22,0,427
2815,1995,Apr,3.8,1995-04,55 years and above,588,15016,-59,0.4,309
2816,1996,Apr,3.3,1996-04,55 years and above,521,15169,-67,0.5,153
2817,1997,Apr,3,1997-04,55 years and above,487,15930,-34,0.3,761
2818,1998,Apr,2.6,1998-04,55 years and above,443,16487,-44,0.4,557
2819,1999,Apr,2.9,1999-04,55 years and above,512,17138,69,-0.3,651
2820,2000,Apr,2.3,2000-04,55 years and above,433,18098,-79,0.6,960
2821,2001,Apr,2.7,2001-04,55 years and above,520,18688,87,-0.4,590
2822,2002,Apr,4,2002-04,55 years and above,816,19655,296,-1.3,967
2823,2003,Apr,4.2,2003-04,55 years and above,917,20969,101,-0.2,1314
2824,2004,Apr,3.8,2004-04,55 years and above,858,21740,-59,0.4,771
2825,2005,Apr,3.5,2005-04,55 years and above,847,23278,-11,0.3,1538
2826,2006,Apr,3,2006-04,55 years and above,761,24535,-86,0.5,1257
2827,2007,Apr,3.1,2007-04,55 years and above,798,25316,37,-0.1,781
2828,2008,Apr,3,2008-04,55 years and above,830,26572,32,0.1,1256
2829,2009,Apr,6.5,2009-04,55 years and above,1868,26915,1038,-3.5,343
2830,2010,Apr,7,2010-04,55 years and above,2091,27809,223,-0.5,894
2831,2011,Apr,6.5,2011-04,55 years and above,1983,28712,-108,0.5,903
2832,2012,Apr,6.3,2012-04,55 years and above,2010,30057,27,0.2,1345
2833,2013,Apr,5.5,2013-04,55 years and above,1807,31284,-203,0.8,1227
2834,2014,Apr,4.7,2014-04,55 years and above,1565,32053,-242,0.8,769
2835,2015,Apr,4,2015-04,55 years and above,1385,33336,-180,0.7,1283
2836,2016,Apr,3.7,2016-04,55 years and above,1315,34390,-70,0.3,1054
2837,2017,Apr,3.2,2017-04,55 years and above,1164,35200,-151,0.5,810
2838,2018,Apr,3,2018-04,55 years and above,1115,36092,-49,0.2,892
2839,2019,Apr,2.6,2019-04,55 years and above,981,36863,-134,0.4,771
2840,2020,Apr,13.6,2020-04,55 years and above,5052,32137,4071,-11,-4726
2841,2021,Apr,5,2021-04,55 years and above,1876,35634,-3176,8.6,3497
2842,2022,Apr,2.8,2022-04,55 years and above,1052,37126,-824,2.2,1492
2843,2023,Apr,2.3,2023-04,55 years and above,894,37232,-158,0.5,106
2844,1969,May,1.7,1969-05,55 years and above,237,14119,-657,0.6,-23113
2845,1970,May,3.1,1970-05,55 years and above,451,14075,214,-1.4,-44
2846,1971,May,3.4,1971-05,55 years and above,500,14062,49,-0.3,-13
2847,1972,May,3.5,1972-05,55 years and above,511,14026,11,-0.1,-36
2848,1973,May,2.5,1973-05,55 years and above,355,13832,-156,1,-194
2849,1974,May,2.7,1974-05,55 years and above,382,13811,27,-0.2,-21
2850,1975,May,5,1975-05,55 years and above,717,13670,335,-2.3,-141
2851,1976,May,4.3,1976-05,55 years and above,616,13555,-101,0.7,-115
2852,1977,May,4.1,1977-05,55 years and above,590,13956,-26,0.2,401
2853,1978,May,3.2,1978-05,55 years and above,466,14311,-124,0.9,355
2854,1979,May,3.1,1979-05,55 years and above,459,14515,-7,0.1,204
2855,1980,May,3.4,1980-05,55 years and above,517,14531,58,-0.3,16
2856,1981,May,3.4,1981-05,55 years and above,516,14627,-1,0,96
2857,1982,May,4.9,1982-05,55 years and above,745,14425,229,-1.5,-202
2858,1983,May,5.4,1983-05,55 years and above,812,14116,67,-0.5,-309
2859,1984,May,4.5,1984-05,55 years and above,669,14251,-143,0.9,135
2860,1985,May,4.2,1985-05,55 years and above,630,14260,-39,0.3,9
2861,1986,May,3.6,1986-05,55 years and above,539,14371,-91,0.6,111
2862,1987,May,3.5,1987-05,55 years and above,520,14490,-19,0.1,119
2863,1988,May,3.3,1988-05,55 years and above,498,14471,-22,0.2,-19
2864,1989,May,3,1989-05,55 years and above,455,14910,-43,0.3,439
2865,1990,May,3,1990-05,55 years and above,457,14599,2,0,-311
2866,1991,May,4,1991-05,55 years and above,600,14264,143,-1,-335
2867,1992,May,4.9,1992-05,55 years and above,733,14371,133,-0.9,107
2868,1993,May,4.2,1993-05,55 years and above,631,14454,-102,0.7,83
2869,1994,May,4.1,1994-05,55 years and above,639,14978,8,0.1,524
2870,1995,May,3.8,1995-05,55 years and above,593,14927,-46,0.3,-51
2871,1996,May,3.6,1996-05,55 years and above,579,15315,-14,0.2,388
2872,1997,May,3.1,1997-05,55 years and above,506,16038,-73,0.5,723
2873,1998,May,2.6,1998-05,55 years and above,440,16558,-66,0.5,520
2874,1999,May,2.8,1999-05,55 years and above,488,17093,48,-0.2,535
2875,2000,May,2.5,2000-05,55 years and above,466,18086,-22,0.3,993
2876,2001,May,2.6,2001-05,55 years and above,493,18833,27,-0.1,747
2877,2002,May,3.9,2002-05,55 years and above,815,19832,322,-1.3,999
2878,2003,May,4.3,2003-05,55 years and above,956,21041,141,-0.4,1209
2879,2004,May,4,2004-05,55 years and above,908,21865,-48,0.3,824
2880,2005,May,3.3,2005-05,55 years and above,786,23349,-122,0.7,1484
2881,2006,May,3,2006-05,55 years and above,755,24555,-31,0.3,1206
2882,2007,May,3.2,2007-05,55 years and above,838,25600,83,-0.2,1045
2883,2008,May,3.2,2008-05,55 years and above,890,26565,52,0,965
2884,2009,May,6.7,2009-05,55 years and above,1944,27166,1054,-3.5,601
2885,2010,May,7,2010-05,55 years and above,2115,27910,171,-0.3,744
2886,2011,May,6.7,2011-05,55 years and above,2071,28659,-44,0.3,749
2887,2012,May,6.5,2012-05,55 years and above,2104,30245,33,0.2,1586
2888,2013,May,5.3,2013-05,55 years and above,1763,31474,-341,1.2,1229
2889,2014,May,4.6,2014-05,55 years and above,1571,32258,-192,0.7,784
2890,2015,May,3.8,2015-05,55 years and above,1315,33402,-256,0.8,1144
2891,2016,May,3.4,2016-05,55 years and above,1220,34233,-95,0.4,831
2892,2017,May,3.1,2017-05,55 years and above,1133,35241,-87,0.3,1008
2893,2018,May,2.8,2018-05,55 years and above,1046,36353,-87,0.3,1112
2894,2019,May,2.8,2019-05,55 years and above,1045,36820,-1,0,467
2895,2020,May,11.8,2020-05,55 years and above,4384,32744,3339,-9,-4076
2896,2021,May,4.8,2021-05,55 years and above,1819,35732,-2565,7,2988
2897,2022,May,2.7,2022-05,55 years and above,1038,37298,-781,2.1,1566
2898,2023,May,2.8,2023-05,55 years and above,1056,37105,18,-0.1,-193
2899,1969,Jun,1.9,1969-06,55 years and above,276,14062,-780,0.9,-23043
2900,1970,Jun,2.8,1970-06,55 years and above,407,14087,131,-0.9,25
2901,1971,Jun,3.2,1971-06,55 years and above,469,14005,62,-0.4,-82
2902,1972,Jun,3.5,1972-06,55 years and above,511,14039,42,-0.3,34
2903,1973,Jun,2.6,1973-06,55 years and above,370,13895,-141,0.9,-144
2904,1974,Jun,2.7,1974-06,55 years and above,386,13820,16,-0.1,-75
2905,1975,Jun,4.9,1975-06,55 years and above,702,13607,316,-2.2,-213
2906,1976,Jun,4.8,1976-06,55 years and above,679,13584,-23,0.1,-23
2907,1977,Jun,3.9,1977-06,55 years and above,559,13861,-120,0.9,277
2908,1978,Jun,3.1,1978-06,55 years and above,467,14456,-92,0.8,595
2909,1979,Jun,2.9,1979-06,55 years and above,431,14537,-36,0.2,81
2910,1980,Jun,3.3,1980-06,55 years and above,493,14536,62,-0.4,-1
2911,1981,Jun,3.3,1981-06,55 years and above,500,14571,7,0,35
2912,1982,Jun,5.1,1982-06,55 years and above,778,14422,278,-1.8,-149
2913,1983,Jun,5.5,1983-06,55 years and above,830,14175,52,-0.4,-247
2914,1984,Jun,4.6,1984-06,55 years and above,689,14156,-141,0.9,-19
2915,1985,Jun,4.4,1985-06,55 years and above,659,14242,-30,0.2,86
2916,1986,Jun,3.8,1986-06,55 years and above,575,14485,-84,0.6,243
2917,1987,Jun,3.2,1987-06,55 years and above,485,14541,-90,0.6,56
2918,1988,Jun,3,1988-06,55 years and above,453,14543,-32,0.2,2
2919,1989,Jun,3.3,1989-06,55 years and above,503,14845,50,-0.3,302
