,Year,Month,Unemployment Rate,Date,Age,Unnamed: 0,Unemployment level
2177,2013,Apr,5.9,2013-04,45 to 54 years,209,2028.0
2178,2014,Apr,4.6,2014-04,45 to 54 years,210,1577.0
2179,2015,Apr,3.9,2015-04,45 to 54 years,211,1317.0
2180,2016,Apr,3.6,2016-04,45 to 54 years,212,1233.0
2181,2017,Apr,3.4,2017-04,45 to 54 years,213,1136.0
2182,2018,Apr,2.8,2018-04,45 to 54 years,214,937.0
2183,2019,Apr,2.5,2019-04,45 to 54 years,215,840.0
2184,2020,Apr,12.3,2020-04,45 to 54 years,216,3878.0
2185,2021,Apr,4.9,2021-04,45 to 54 years,217,1546.0
2186,2022,Apr,2.2,2022-04,45 to 54 years,218,700.0
2187,2023,Apr,2.4,2023-04,45 to 54 years,219,796.0
2188,1969,May,1.9,1969-05,45 to 54 years,220,315.0
2189,1970,May,2.7,1970-05,45 to 54 years,221,453.0
2190,1971,May,3.3,1971-05,45 to 54 years,222,556.0
2191,1972,May,3.1,1972-05,45 to 54 years,223,530.0
2192,1973,May,2.3,1973-05,45 to 54 years,224,383.0
2193,1974,May,2.5,1974-05,45 to 54 years,225,432.0
2194,1975,May,5.7,1975-05,45 to 54 years,226,980.0
2195,1976,May,4.2,1976-05,45 to 54 years,227,707.0
2196,1977,May,4.0,1977-05,45 to 54 years,228,667.0
2197,1978,May,3.4,1978-05,45 to 54 years,229,579.0
2198,1979,May,3.0,1979-05,45 to 54 years,230,507.0
2199,1980,May,3.9,1980-05,45 to 54 years,231,665.0
2200,1981,May,3.9,1981-05,45 to 54 years,232,674.0
2201,1982,May,5.6,1982-05,45 to 54 years,233,944.0
2202,1983,May,6.8,1983-05,45 to 54 years,234,1132.0
2203,1984,May,5.0,1984-05,45 to 54 years,235,843.0
2204,1985,May,4.4,1985-05,45 to 54 years,236,754.0
2205,1986,May,4.7,1986-05,45 to 54 years,237,825.0
2206,1987,May,3.9,1987-05,45 to 54 years,238,717.0
2207,1988,May,3.3,1988-05,45 to 54 years,239,636.0
2208,1989,May,2.9,1989-05,45 to 54 years,240,583.0
2209,1990,May,3.3,1990-05,45 to 54 years,241,675.0
2210,1991,May,4.5,1991-05,45 to 54 years,242,923.0
2211,1992,May,5.4,1992-05,45 to 54 years,243,1191.0
2212,1993,May,4.9,1993-05,45 to 54 years,244,1141.0
2213,1994,May,4.1,1994-05,45 to 54 years,245,990.0
2214,1995,May,3.2,1995-05,45 to 54 years,246,797.0
2215,1996,May,3.6,1996-05,45 to 54 years,247,957.0
2216,1997,May,3.0,1997-05,45 to 54 years,248,829.0
2217,1998,May,2.6,1998-05,45 to 54 years,249,720.0
2218,1999,May,2.5,1999-05,45 to 54 years,250,723.0
2219,2000,May,2.4,2000-05,45 to 54 years,251,734.0
2220,2001,May,2.8,2001-05,45 to 54 years,252,906.0
2221,2002,May,4.3,2002-05,45 to 54 years,253,1390.0
2222,2003,May,4.1,2003-05,45 to 54 years,254,1355.0
2223,2004,May,3.8,2004-05,45 to 54 years,255,1295.0
2224,2005,May,3.5,2005-05,45 to 54 years,256,1199.0
2225,2006,May,3.3,2006-05,45 to 54 years,257,1161.0
2226,2007,May,3.1,2007-05,45 to 54 years,258,1094.0
2227,2008,May,3.8,2008-05,45 to 54 years,259,1352.0
2228,2009,May,6.9,2009-05,45 to 54 years,260,2514.0
2229,2010,May,7.6,2010-05,45 to 54 years,261,2733.0
2230,2011,May,7.2,2011-05,45 to 54 years,262,2541.0
2231,2012,May,6.3,2012-05,45 to 54 years,263,2208.0
2232,2013,May,5.9,2013-05,45 to 54 years,264,2052.0
2233,2014,May,4.5,2014-05,45 to 54 years,265,1526.0
2234,2015,May,3.9,2015-05,45 to 54 years,266,1316.0
2235,2016,May,3.5,2016-05,45 to 54 years,267,1181.0
2236,2017,May,3.3,2017-05,45 to 54 years,268,1103.0
2237,2018,May,2.8,2018-05,45 to 54 years,269,923.0
2238,2019,May,2.6,2019-05,45 to 54 years,270,858.0
2239,2020,May,10.7,2020-05,45 to 54 years,271,3417.0
2240,2021,May,4.7,2021-05,45 to 54 years,272,1512.0
2241,2022,May,2.3,2022-05,45 to 54 years,273,755.0
2242,2023,May,2.6,2023-05,45 to 54 years,274,862.0
2243,1969,Jun,1.8,1969-06,45 to 54 years,275,301.0
2244,1970,Jun,2.7,1970-06,45 to 54 years,276,463.0
2245,1971,Jun,3.3,1971-06,45 to 54 years,277,555.0
2246,1972,Jun,3.2,1972-06,45 to 54 years,278,540.0
2247,1973,Jun,2.5,1973-06,45 to 54 years,279,421.0
2248,1974,Jun,2.6,1974-06,45 to 54 years,280,448.0
2249,1975,Jun,5.6,1975-06,45 to 54 years,281,967.0
2250,1976,Jun,4.3,1976-06,45 to 54 years,282,727.0
2251,1977,Jun,4.1,1977-06,45 to 54 years,283,688.0
2252,1978,Jun,3.3,1978-06,45 to 54 years,284,547.0
2253,1979,Jun,3.1,1979-06,45 to 54 years,285,526.0
2254,1980,Jun,4.2,1980-06,45 to 54 years,286,702.0
2255,1981,Jun,4.2,1981-06,45 to 54 years,287,715.0
2256,1982,Jun,5.2,1982-06,45 to 54 years,288,881.0
2257,1983,Jun,6.4,1983-06,45 to 54 years,289,1084.0
2258,1984,Jun,4.4,1984-06,45 to 54 years,290,755.0
2259,1985,Jun,4.7,1985-06,45 to 54 years,291,805.0
2260,1986,Jun,4.9,1986-06,45 to 54 years,292,875.0
2261,1987,Jun,4.1,1987-06,45 to 54 years,293,738.0
2262,1988,Jun,3.3,1988-06,45 to 54 years,294,622.0
2263,1989,Jun,3.0,1989-06,45 to 54 years,295,596.0
2264,1990,Jun,3.3,1990-06,45 to 54 years,296,677.0
2265,1991,Jun,4.4,1991-06,45 to 54 years,297,919.0
2266,1992,Jun,5.2,1992-06,45 to 54 years,298,1156.0
2267,1993,Jun,4.9,1993-06,45 to 54 years,299,1140.0
2268,1994,Jun,4.2,1994-06,45 to 54 years,300,1016.0
2269,1995,Jun,3.3,1995-06,45 to 54 years,301,814.0
2270,1996,Jun,3.4,1996-06,45 to 54 years,302,891.0
2271,1997,Jun,3.1,1997-06,45 to 54 years,303,853.0
2272,1998,Jun,2.7,1998-06,45 to 54 years,304,766.0
2273,1999,Jun,2.3,1999-06,45 to 54 years,305,687.0
2274,2000,Jun,2.5,2000-06,45 to 54 years,306,779.0
2275,2001,Jun,2.8,2001-06,45 to 54 years,307,903.0
2276,2002,Jun,4.4,2002-06,45 to 54 years,308,1447.0
2277,2003,Jun,4.0,2003-06,45 to 54 years,309,1330.0
2278,2004,Jun,4.0,2004-06,45 to 54 years,310,1354.0
2279,2005,Jun,3.4,2005-06,45 to 54 years,311,1178.0
2280,2006,Jun,3.2,2006-06,45 to 54 years,312,1119.0
2281,2007,Jun,3.0,2007-06,45 to 54 years,313,1065.0
2282,2008,Jun,3.8,2008-06,45 to 54 years,314,1375.0
2283,2009,Jun,7.3,2009-06,45 to 54 years,315,2659.0
2284,2010,Jun,7.5,2010-06,45 to 54 years,316,2689.0
2285,2011,Jun,7.3,2011-06,45 to 54 years,317,2602.0
2286,2012,Jun,6.4,2012-06,45 to 54 years,318,2246.0
2287,2013,Jun,5.8,2013-06,45 to 54 years,319,2019.0
2288,2014,Jun,4.2,2014-06,45 to 54 years,320,1436.0
2289,2015,Jun,3.4,2015-06,45 to 54 years,321,1167.0
2290,2016,Jun,3.5,2016-06,45 to 54 years,322,1170.0
2291,2017,Jun,3.5,2017-06,45 to 54 years,323,1189.0
2292,2018,Jun,3.1,2018-06,45 to 54 years,324,1023.0
2293,2019,Jun,2.8,2019-06,45 to 54 years,325,909.0
2294,2020,Jun,8.4,2020-06,45 to 54 years,326,2712.0
2295,2021,Jun,4.7,2021-06,45 to 54 years,327,1487.0
2296,2022,Jun,2.4,2022-06,45 to 54 years,328,780.0
2297,2023,Jun,2.4,2023-06,45 to 54 years,329,785.0
2298,1969,Jul,1.9,1969-07,45 to 54 years,330,310.0
2299,1970,Jul,3.2,1970-07,45 to 54 years,331,541.0
2300,1971,Jul,3.5,1971-07,45 to 54 years,332,591.0
2301,1972,Jul,3.1,1972-07,45 to 54 years,333,524.0
2302,1973,Jul,2.3,1973-07,45 to 54 years,334,395.0
2303,1974,Jul,2.6,1974-07,45 to 54 years,335,455.0
2304,1975,Jul,5.5,1975-07,45 to 54 years,336,946.0
2305,1976,Jul,4.8,1976-07,45 to 54 years,337,817.0
2306,1977,Jul,3.6,1977-07,45 to 54 years,338,595.0
2307,1978,Jul,3.4,1978-07,45 to 54 years,339,578.0
2308,1979,Jul,3.1,1979-07,45 to 54 years,340,519.0
2309,1980,Jul,4.4,1980-07,45 to 54 years,341,740.0
2310,1981,Jul,4.2,1981-07,45 to 54 years,342,714.0
2311,1982,Jul,5.8,1982-07,45 to 54 years,343,982.0
2312,1983,Jul,6.0,1983-07,45 to 54 years,344,1008.0
2313,1984,Jul,4.9,1984-07,45 to 54 years,345,843.0
2314,1985,Jul,4.8,1985-07,45 to 54 years,346,825.0
2315,1986,Jul,4.5,1986-07,45 to 54 years,347,808.0
2316,1987,Jul,4.0,1987-07,45 to 54 years,348,726.0
2317,1988,Jul,3.5,1988-07,45 to 54 years,349,667.0
2318,1989,Jul,3.1,1989-07,45 to 54 years,350,616.0
2319,1990,Jul,3.3,1990-07,45 to 54 years,351,675.0
2320,1991,Jul,4.5,1991-07,45 to 54 years,352,943.0
2321,1992,Jul,5.3,1992-07,45 to 54 years,353,1176.0
2322,1993,Jul,4.9,1993-07,45 to 54 years,354,1148.0
2323,1994,Jul,4.1,1994-07,45 to 54 years,355,1000.0
2324,1995,Jul,3.4,1995-07,45 to 54 years,356,847.0
2325,1996,Jul,3.0,1996-07,45 to 54 years,357,805.0
2326,1997,Jul,3.0,1997-07,45 to 54 years,358,821.0
2327,1998,Jul,2.8,1998-07,45 to 54 years,359,794.0
2328,1999,Jul,2.6,1999-07,45 to 54 years,360,752.0
2329,2000,Jul,2.5,2000-07,45 to 54 years,361,767.0
2330,2001,Jul,3.0,2001-07,45 to 54 years,362,960.0
2331,2002,Jul,4.2,2002-07,45 to 54 years,363,1379.0
2332,2003,Jul,4.0,2003-07,45 to 54 years,364,1339.0
2333,2004,Jul,3.7,2004-07,45 to 54 years,365,1258.0
2334,2005,Jul,3.6,2005-07,45 to 54 years,366,1239.0
2335,2006,Jul,3.2,2006-07,45 to 54 years,367,1136.0
2336,2007,Jul,3.2,2007-07,45 to 54 years,368,1134.0
2337,2008,Jul,3.8,2008-07,45 to 54 years,369,1384.0
2338,2009,Jul,7.4,2009-07,45 to 54 years,370,2689.0
2339,2010,Jul,7.4,2010-07,45 to 54 years,371,2648.0
2340,2011,Jul,7.1,2011-07,45 to 54 years,372,2524.0
2341,2012,Jul,6.5,2012-07,45 to 54 years,373,2282.0
2342,2013,Jul,5.6,2013-07,45 to 54 years,374,1940.0
2343,2014,Jul,4.1,2014-07,45 to 54 years,375,1394.0
2344,2015,Jul,3.7,2015-07,45 to 54 years,376,1254.0
2345,2016,Jul,3.4,2016-07,45 to 54 years,377,1156.0
2346,2017,Jul,3.2,2017-07,45 to 54 years,378,1066.0
2347,2018,Jul,2.9,2018-07,45 to 54 years,379,966.0
2348,2019,Jul,2.7,2019-07,45 to 54 years,380,890.0
2349,2020,Jul,7.8,2020-07,45 to 54 years,381,2504.0
2350,2021,Jul,3.8,2021-07,45 to 54 years,382,1227.0
2351,2022,Jul,2.4,2022-07,45 to 54 years,383,786.0
2352,2023,Jul,2.3,2023-07,45 to 54 years,384,754.0
2353,1969,Aug,1.9,1969-08,45 to 54 years,385,312.0
2354,1970,Aug,3.0,1970-08,45 to 54 years,386,505.0
2355,1971,Aug,3.5,1971-08,45 to 54 years,387,596.0
2356,1972,Aug,3.0,1972-08,45 to 54 years,388,514.0
2357,1973,Aug,2.4,1973-08,45 to 54 years,389,403.0
2358,1974,Aug,2.6,1974-08,45 to 54 years,390,438.0
2359,1975,Aug,5.4,1975-08,45 to 54 years,391,931.0
2360,1976,Aug,4.4,1976-08,45 to 54 years,392,741.0
2361,1977,Aug,3.9,1977-08,45 to 54 years,393,649.0
2362,1978,Aug,3.2,1978-08,45 to 54 years,394,538.0
2363,1979,Aug,3.1,1979-08,45 to 54 years,395,529.0
2364,1980,Aug,4.5,1980-08,45 to 54 years,396,754.0
2365,1981,Aug,4.4,1981-08,45 to 54 years,397,740.0
2366,1982,Aug,5.7,1982-08,45 to 54 years,398,965.0
2367,1983,Aug,6.2,1983-08,45 to 54 years,399,1050.0
2368,1984,Aug,4.7,1984-08,45 to 54 years,400,808.0
2369,1985,Aug,4.6,1985-08,45 to 54 years,401,796.0
2370,1986,Aug,4.5,1986-08,45 to 54 years,402,792.0
2371,1987,Aug,4.0,1987-08,45 to 54 years,403,727.0
2372,1988,Aug,3.4,1988-08,45 to 54 years,404,651.0
2373,1989,Aug,3.1,1989-08,45 to 54 years,405,626.0
2374,1990,Aug,3.5,1990-08,45 to 54 years,406,706.0
2375,1991,Aug,4.6,1991-08,45 to 54 years,407,958.0
2376,1992,Aug,5.2,1992-08,45 to 54 years,408,1165.0
2377,1993,Aug,4.8,1993-08,45 to 54 years,409,1126.0
2378,1994,Aug,4.0,1994-08,45 to 54 years,410,986.0
2379,1995,Aug,3.4,1995-08,45 to 54 years,411,855.0
2380,1996,Aug,3.1,1996-08,45 to 54 years,412,839.0
2381,1997,Aug,2.9,1997-08,45 to 54 years,413,801.0
2382,1998,Aug,2.7,1998-08,45 to 54 years,414,764.0
2383,1999,Aug,2.5,1999-08,45 to 54 years,415,748.0
2384,2000,Aug,2.7,2000-08,45 to 54 years,416,832.0
2385,2001,Aug,3.3,2001-08,45 to 54 years,417,1048.0
2386,2002,Aug,4.0,2002-08,45 to 54 years,418,1294.0
2387,2003,Aug,4.2,2003-08,45 to 54 years,419,1387.0
2388,2004,Aug,3.7,2004-08,45 to 54 years,420,1242.0
2389,2005,Aug,3.2,2005-08,45 to 54 years,421,1124.0
2390,2006,Aug,3.3,2006-08,45 to 54 years,422,1156.0
2391,2007,Aug,3.1,2007-08,45 to 54 years,423,1119.0
2392,2008,Aug,4.3,2008-08,45 to 54 years,424,1536.0
2393,2009,Aug,7.6,2009-08,45 to 54 years,425,2747.0
2394,2010,Aug,8.0,2010-08,45 to 54 years,426,2891.0
2395,2011,Aug,7.0,2011-08,45 to 54 years,427,2480.0
2396,2012,Aug,6.3,2012-08,45 to 54 years,428,2202.0
2397,2013,Aug,5.4,2013-08,45 to 54 years,429,1839.0
2398,2014,Aug,4.1,2014-08,45 to 54 years,430,1405.0
2399,2015,Aug,3.7,2015-08,45 to 54 years,431,1253.0
2400,2016,Aug,3.6,2016-08,45 to 54 years,432,1201.0
2401,2017,Aug,3.6,2017-08,45 to 54 years,433,1201.0
2402,2018,Aug,2.6,2018-08,45 to 54 years,434,854.0
2403,2019,Aug,2.8,2019-08,45 to 54 years,435,914.0
2404,2020,Aug,6.2,2020-08,45 to 54 years,436,2000.0
2405,2021,Aug,4.0,2021-08,45 to 54 years,437,1281.0
2406,2022,Aug,2.6,2022-08,45 to 54 years,438,863.0
2407,2023,Aug,2.5,2023-08,45 to 54 years,439,822.0
2408,1969,Sep,1.9,1969-09,45 to 54 years,440,316.0
2409,1970,Sep,3.0,1970-09,45 to 54 years,441,516.0
2410,1971,Sep,3.6,1971-09,45 to 54 years,442,608.0
2411,1972,Sep,2.8,1972-09,45 to 54 years,443,479.0
2412,1973,Sep,2.2,1973-09,45 to 54 years,444,371.0
2413,1974,Sep,3.2,1974-09,45 to 54 years,445,539.0
2414,1975,Sep,5.5,1975-09,45 to 54 years,446,936.0
2415,1976,Sep,4.5,1976-09,45 to 54 years,447,765.0
2416,1977,Sep,3.6,1977-09,45 to 54 years,448,600.0
2417,1978,Sep,3.4,1978-09,45 to 54 years,449,571.0
2418,1979,Sep,3.2,1979-09,45 to 54 years,450,540.0
2419,1980,Sep,4.2,1980-09,45 to 54 years,451,719.0
2420,1981,Sep,4.1,1981-09,45 to 54 years,452,688.0
2421,1982,Sep,6.3,1982-09,45 to 54 years,453,1072.0
2422,1983,Sep,5.8,1983-09,45 to 54 years,454,984.0
2423,1984,Sep,4.9,1984-09,45 to 54 years,455,831.0
2424,1985,Sep,4.7,1985-09,45 to 54 years,456,818.0
2425,1986,Sep,4.4,1986-09,45 to 54 years,457,781.0
2426,1987,Sep,3.7,1987-09,45 to 54 years,458,674.0
2427,1988,Sep,3.6,1988-09,45 to 54 years,459,695.0
2428,1989,Sep,2.9,1989-09,45 to 54 years,460,586.0
2429,1990,Sep,3.5,1990-09,45 to 54 years,461,707.0
2430,1991,Sep,4.7,1991-09,45 to 54 years,462,980.0
2431,1992,Sep,5.1,1992-09,45 to 54 years,463,1143.0
2432,1993,Sep,4.8,1993-09,45 to 54 years,464,1121.0
2433,1994,Sep,3.8,1994-09,45 to 54 years,465,948.0
2434,1995,Sep,3.3,1995-09,45 to 54 years,466,829.0
2435,1996,Sep,3.2,1996-09,45 to 54 years,467,856.0
2436,1997,Sep,3.1,1997-09,45 to 54 years,468,870.0
2437,1998,Sep,2.7,1998-09,45 to 54 years,469,761.0
2438,1999,Sep,2.5,1999-09,45 to 54 years,470,746.0
2439,2000,Sep,2.6,2000-09,45 to 54 years,471,812.0
2440,2001,Sep,3.2,2001-09,45 to 54 years,472,1022.0
2441,2002,Sep,3.9,2002-09,45 to 54 years,473,1268.0
2442,2003,Sep,4.2,2003-09,45 to 54 years,474,1411.0
2443,2004,Sep,3.6,2004-09,45 to 54 years,475,1222.0
2444,2005,Sep,3.6,2005-09,45 to 54 years,476,1239.0
2445,2006,Sep,3.0,2006-09,45 to 54 years,477,1064.0
2446,2007,Sep,3.1,2007-09,45 to 54 years,478,1125.0
2447,2008,Sep,4.3,2008-09,45 to 54 years,479,1566.0
2448,2009,Sep,7.9,2009-09,45 to 54 years,480,2839.0
2449,2010,Sep,7.5,2010-09,45 to 54 years,481,2703.0
2450,2011,Sep,7.1,2011-09,45 to 54 years,482,2521.0
2451,2012,Sep,6.0,2012-09,45 to 54 years,483,2118.0
2452,2013,Sep,5.6,2013-09,45 to 54 years,484,1914.0
2453,2014,Sep,4.1,2014-09,45 to 54 years,485,1410.0
2454,2015,Sep,3.4,2015-09,45 to 54 years,486,1137.0
2455,2016,Sep,3.6,2016-09,45 to 54 years,487,1217.0
2456,2017,Sep,3.1,2017-09,45 to 54 years,488,1040.0
2457,2018,Sep,2.7,2018-09,45 to 54 years,489,895.0
2458,2019,Sep,2.8,2019-09,45 to 54 years,490,916.0
2459,2020,Sep,6.4,2020-09,45 to 54 years,491,2039.0
2460,2021,Sep,3.9,2021-09,45 to 54 years,492,1245.0
2461,2022,Sep,2.1,2022-09,45 to 54 years,493,692.0
2462,1969,Oct,2.0,1969-10,45 to 54 years,495,339.0
2463,1970,Oct,3.1,1970-10,45 to 54 years,496,528.0
2464,1971,Oct,3.3,1971-10,45 to 54 years,497,569.0
2465,1972,Oct,3.0,1972-10,45 to 54 years,498,508.0
2466,1973,Oct,2.3,1973-10,45 to 54 years,499,397.0
2467,1974,Oct,3.1,1974-10,45 to 54 years,500,536.0
2468,1975,Oct,5.5,1975-10,45 to 54 years,501,948.0
2469,1976,Oct,4.4,1976-10,45 to 54 years,502,742.0
2470,1977,Oct,3.6,1977-10,45 to 54 years,503,600.0
2471,1978,Oct,3.3,1978-10,45 to 54 years,504,554.0
2472,1979,Oct,3.3,1979-10,45 to 54 years,505,564.0
2473,1980,Oct,4.2,1980-10,45 to 54 years,506,717.0
2474,1981,Oct,4.4,1981-10,45 to 54 years,507,748.0
2475,1982,Oct,6.4,1982-10,45 to 54 years,508,1089.0
2476,1983,Oct,5.6,1983-10,45 to 54 years,509,955.0
2477,1984,Oct,4.8,1984-10,45 to 54 years,510,826.0
2478,1985,Oct,4.6,1985-10,45 to 54 years,511,793.0
2479,1986,Oct,4.3,1986-10,45 to 54 years,512,768.0
2480,1987,Oct,4.1,1987-10,45 to 54 years,513,755.0
2481,1988,Oct,3.3,1988-10,45 to 54 years,514,645.0
2482,1989,Oct,3.3,1989-10,45 to 54 years,515,666.0
2483,1990,Oct,3.8,1990-10,45 to 54 years,516,775.0
2484,1991,Oct,4.8,1991-10,45 to 54 years,517,1009.0
2485,1992,Oct,4.9,1992-10,45 to 54 years,518,1104.0
2486,1993,Oct,4.6,1993-10,45 to 54 years,519,1098.0
2487,1994,Oct,3.9,1994-10,45 to 54 years,520,958.0
2488,1995,Oct,3.3,1995-10,45 to 54 years,521,838.0
2489,1996,Oct,3.3,1996-10,45 to 54 years,522,874.0
2490,1997,Oct,2.9,1997-10,45 to 54 years,523,806.0
2491,1998,Oct,2.6,1998-10,45 to 54 years,524,754.0
2492,1999,Oct,2.5,1999-10,45 to 54 years,525,739.0
2493,2000,Oct,2.5,2000-10,45 to 54 years,526,799.0
2494,2001,Oct,3.7,2001-10,45 to 54 years,527,1191.0
2495,2002,Oct,3.9,2002-10,45 to 54 years,528,1290.0
2496,2003,Oct,4.1,2003-10,45 to 54 years,529,1362.0
2497,2004,Oct,3.6,2004-10,45 to 54 years,530,1206.0
2498,2005,Oct,3.6,2005-10,45 to 54 years,531,1242.0
2499,2006,Oct,2.7,2006-10,45 to 54 years,532,971.0
2500,2007,Oct,3.4,2007-10,45 to 54 years,533,1205.0
2501,2008,Oct,4.6,2008-10,45 to 54 years,534,1653.0
2502,2009,Oct,7.7,2009-10,45 to 54 years,535,2783.0
2503,2010,Oct,7.6,2010-10,45 to 54 years,536,2723.0
2504,2011,Oct,6.9,2011-10,45 to 54 years,537,2422.0
2505,2012,Oct,6.0,2012-10,45 to 54 years,538,2078.0
2506,2013,Oct,5.8,2013-10,45 to 54 years,539,1987.0
2507,2014,Oct,4.0,2014-10,45 to 54 years,540,1363.0
2508,2015,Oct,3.7,2015-10,45 to 54 years,541,1236.0
2509,2016,Oct,3.5,2016-10,45 to 54 years,542,1181.0
2510,2017,Oct,2.8,2017-10,45 to 54 years,543,931.0
2511,2018,Oct,2.7,2018-10,45 to 54 years,544,911.0
2512,2019,Oct,2.6,2019-10,45 to 54 years,545,839.0
2513,2020,Oct,5.9,2020-10,45 to 54 years,546,1882.0
2514,2021,Oct,3.7,2021-10,45 to 54 years,547,1175.0
2515,2022,Oct,2.8,2022-10,45 to 54 years,548,899.0
2516,1969,Nov,1.9,1969-11,45 to 54 years,550,327.0
2517,1970,Nov,3.4,1970-11,45 to 54 years,551,587.0
2518,1971,Nov,3.3,1971-11,45 to 54 years,552,557.0
2519,1972,Nov,2.8,1972-11,45 to 54 years,553,477.0
2520,1973,Nov,2.4,1973-11,45 to 54 years,554,417.0
2521,1974,Nov,3.7,1974-11,45 to 54 years,555,637.0
2522,1975,Nov,5.0,1975-11,45 to 54 years,556,854.0
2523,1976,Nov,4.6,1976-11,45 to 54 years,557,788.0
2524,1977,Nov,3.5,1977-11,45 to 54 years,558,603.0
2525,1978,Nov,3.0,1978-11,45 to 54 years,559,513.0
2526,1979,Nov,3.2,1979-11,45 to 54 years,560,541.0
2527,1980,Nov,4.5,1980-11,45 to 54 years,561,762.0
2528,1981,Nov,4.6,1981-11,45 to 54 years,562,780.0
2529,1982,Nov,6.6,1982-11,45 to 54 years,563,1119.0
2530,1983,Nov,5.3,1983-11,45 to 54 years,564,887.0
2531,1984,Nov,4.9,1984-11,45 to 54 years,565,831.0
2532,1985,Nov,4.2,1985-11,45 to 54 years,566,738.0
2533,1986,Nov,4.2,1986-11,45 to 54 years,567,747.0
2534,1987,Nov,3.8,1987-11,45 to 54 years,568,702.0
2535,1988,Nov,3.5,1988-11,45 to 54 years,569,682.0
2536,1989,Nov,3.3,1989-11,45 to 54 years,570,669.0
2537,1990,Nov,4.3,1990-11,45 to 54 years,571,887.0
2538,1991,Nov,4.8,1991-11,45 to 54 years,572,1007.0
2539,1992,Nov,4.9,1992-11,45 to 54 years,573,1095.0
2540,1993,Nov,4.2,1993-11,45 to 54 years,574,997.0
2541,1994,Nov,3.8,1994-11,45 to 54 years,575,933.0
2542,1995,Nov,3.5,1995-11,45 to 54 years,576,883.0
2543,1996,Nov,3.2,1996-11,45 to 54 years,577,860.0
2544,1997,Nov,2.7,1997-11,45 to 54 years,578,761.0
2545,1998,Nov,2.7,1998-11,45 to 54 years,579,770.0
2546,1999,Nov,2.6,1999-11,45 to 54 years,580,771.0
2547,2000,Nov,2.4,2000-11,45 to 54 years,581,768.0
2548,2001,Nov,3.6,2001-11,45 to 54 years,582,1166.0
2549,2002,Nov,4.0,2002-11,45 to 54 years,583,1302.0
2550,2003,Nov,4.0,2003-11,45 to 54 years,584,1331.0
2551,2004,Nov,3.7,2004-11,45 to 54 years,585,1251.0
2552,2005,Nov,3.6,2005-11,45 to 54 years,586,1228.0
2553,2006,Nov,2.8,2006-11,45 to 54 years,587,998.0
2554,2007,Nov,3.3,2007-11,45 to 54 years,588,1193.0
2555,2008,Nov,5.1,2008-11,45 to 54 years,589,1845.0
2556,2009,Nov,7.6,2009-11,45 to 54 years,590,2778.0
2557,2010,Nov,8.1,2010-11,45 to 54 years,591,2900.0
2558,2011,Nov,6.6,2011-11,45 to 54 years,592,2330.0
2559,2012,Nov,6.0,2012-11,45 to 54 years,593,2067.0
2560,2013,Nov,5.5,2013-11,45 to 54 years,594,1876.0
2561,2014,Nov,4.2,2014-11,45 to 54 years,595,1413.0
2562,2015,Nov,3.4,2015-11,45 to 54 years,596,1149.0
2563,2016,Nov,3.5,2016-11,45 to 54 years,597,1202.0
2564,2017,Nov,2.8,2017-11,45 to 54 years,598,935.0
2565,2018,Nov,2.6,2018-11,45 to 54 years,599,876.0
2566,2019,Nov,2.5,2019-11,45 to 54 years,600,832.0
2567,2020,Nov,5.4,2020-11,45 to 54 years,601,1739.0
2568,2021,Nov,3.0,2021-11,45 to 54 years,602,961.0
2569,2022,Nov,2.7,2022-11,45 to 54 years,603,865.0
2570,1969,Dec,2.0,1969-12,45 to 54 years,605,346.0
2571,1970,Dec,3.4,1970-12,45 to 54 years,606,573.0
2572,1971,Dec,3.5,1971-12,45 to 54 years,607,600.0
2573,1972,Dec,2.7,1972-12,45 to 54 years,608,450.0
2574,1973,Dec,2.6,1973-12,45 to 54 years,609,451.0
2575,1974,Dec,4.0,1974-12,45 to 54 years,610,689.0
2576,1975,Dec,5.0,1975-12,45 to 54 years,611,845.0
2577,1976,Dec,4.8,1976-12,45 to 54 years,612,811.0
2578,1977,Dec,3.5,1977-12,45 to 54 years,613,585.0
2579,1978,Dec,3.2,1978-12,45 to 54 years,614,547.0
2580,1979,Dec,3.1,1979-12,45 to 54 years,615,525.0
2581,1980,Dec,4.1,1980-12,45 to 54 years,616,687.0
2582,1981,Dec,4.9,1981-12,45 to 54 years,617,826.0
2583,1982,Dec,6.4,1982-12,45 to 54 years,618,1072.0
2584,1983,Dec,5.5,1983-12,45 to 54 years,619,935.0
2585,1984,Dec,5.0,1984-12,45 to 54 years,620,856.0
2586,1985,Dec,4.6,1985-12,45 to 54 years,621,799.0
2587,1986,Dec,4.1,1986-12,45 to 54 years,622,727.0
2588,1987,Dec,3.5,1987-12,45 to 54 years,623,643.0
2589,1988,Dec,3.5,1988-12,45 to 54 years,624,687.0
2590,1989,Dec,3.3,1989-12,45 to 54 years,625,675.0
2591,1990,Dec,4.4,1990-12,45 to 54 years,626,893.0
2592,1991,Dec,4.8,1991-12,45 to 54 years,627,1026.0
2593,1992,Dec,4.9,1992-12,45 to 54 years,628,1120.0
2594,1993,Dec,4.4,1993-12,45 to 54 years,629,1043.0
2595,1994,Dec,3.4,1994-12,45 to 54 years,630,849.0
2596,1995,Dec,3.4,1995-12,45 to 54 years,631,877.0
2597,1996,Dec,3.4,1996-12,45 to 54 years,632,906.0
