yearAndMonth,Year,Month,Unemployment(in thousands)
1994-12,1994,Dec,77
1995-01,1995,Jan,77
1995-02,1995,Feb,77
1995-03,1995,Mar,77
1995-04,1995,Apr,77
1995-05,1995,May,76
1995-06,1995,Jun,76
1995-07,1995,Jul,76
1995-08,1995,Aug,76
1995-09,1995,Sep,76
1995-10,1995,Oct,76
1995-11,1995,Nov,76
1995-12,1995,Dec,76
1996-01,1996,Jan,76
1996-02,1996,Feb,76
1996-03,1996,Mar,76
1996-04,1996,Apr,76
1996-05,1996,May,76
1996-06,1996,Jun,76
1996-07,1996,Jul,77
1996-08,1996,Aug,76
1996-09,1996,Sep,76
1996-10,1996,Oct,77
1996-11,1996,Nov,76
1996-12,1996,Dec,76
1997-01,1997,Jan,76
1997-02,1997,Feb,76
1997-03,1997,Mar,77
1997-04,1997,Apr,77
1997-05,1997,May,76
1997-06,1997,Jun,77
1997-07,1997,Jul,77
1997-08,1997,Aug,77
1997-09,1997,Sep,76
1997-10,1997,Oct,76
1997-11,1997,Nov,77
1997-12,1997,Dec,76
1998-01,1998,Jan,76
1998-02,1998,Feb,76
1998-03,1998,Mar,76
1998-04,1998,Apr,76
1998-05,1998,May,76
1998-06,1998,Jun,76
1998-07,1998,Jul,76
1998-08,1998,Aug,76
1998-09,1998,Sep,76
1998-10,1998,Oct,76
1998-11,1998,Nov,76
1998-12,1998,Dec,76
1999-01,1999,Jan,76
1999-02,1999,Feb,76
1999-03,1999,Mar,76
1999-04,1999,Apr,76
1999-05,1999,May,76
1999-06,1999,Jun,76
1999-07,1999,Jul,76
1999-08,1999,Aug,76
1999-09,1999,Sep,76
1999-10,1999,Oct,76
1999-11,1999,Nov,76
1999-12,1999,Dec,76
2000-01,2000,Jan,77
2000-02,2000,Feb,77
2000-03,2000,Mar,76
2000-04,2000,Apr,76
2000-05,2000,May,76
2000-06,2000,Jun,76
2000-07,2000,Jul,76
2000-08,2000,Aug,76
2000-09,2000,Sep,76
2000-10,2000,Oct,76
2000-11,2000,Nov,76
2000-12,2000,Dec,76
2001-01,2001,Jan,76
2001-02,2001,Feb,76
2001-03,2001,Mar,76
2001-04,2001,Apr,76
2001-05,2001,May,76
2001-06,2001,Jun,76
2001-07,2001,Jul,76
2001-08,2001,Aug,76
2001-09,2001,Sep,76
2001-10,2001,Oct,76
2001-11,2001,Nov,76
2001-12,2001,Dec,76
2002-01,2002,Jan,76
2002-02,2002,Feb,76
2002-03,2002,Mar,76
2002-04,2002,Apr,76
2002-05,2002,May,76
2002-06,2002,Jun,76
2002-07,2002,Jul,76
2002-08,2002,Aug,76
2002-09,2002,Sep,76
2002-10,2002,Oct,76
2002-11,2002,Nov,75
2002-12,2002,Dec,75
2003-01,2003,Jan,75
2003-02,2003,Feb,76
2003-03,2003,Mar,75
2003-04,2003,Apr,76
2003-05,2003,May,76
2003-06,2003,Jun,76
2003-07,2003,Jul,75
2003-08,2003,Aug,75
2003-09,2003,Sep,76
2003-10,2003,Oct,75
2003-11,2003,Nov,76
2003-12,2003,Dec,75
2004-01,2004,Jan,76
2004-02,2004,Feb,75
2004-03,2004,Mar,75
2004-04,2004,Apr,75
2004-05,2004,May,75
2004-06,2004,Jun,75
2004-07,2004,Jul,75
2004-08,2004,Aug,75
2004-09,2004,Sep,75
2004-10,2004,Oct,75
2004-11,2004,Nov,75
2004-12,2004,Dec,75
2005-01,2005,Jan,75
2005-02,2005,Feb,75
2005-03,2005,Mar,75
2005-04,2005,Apr,75
2005-05,2005,May,76
2005-06,2005,Jun,76
2005-07,2005,Jul,75
2005-08,2005,Aug,76
2005-09,2005,Sep,75
2005-10,2005,Oct,75
2005-11,2005,Nov,75
2005-12,2005,Dec,75
2006-01,2006,Jan,75
2006-02,2006,Feb,75
2006-03,2006,Mar,76
2006-04,2006,Apr,76
2006-05,2006,May,76
2006-06,2006,Jun,75
2006-07,2006,Jul,75
2006-08,2006,Aug,75
2006-09,2006,Sep,75
2006-10,2006,Oct,75
2006-11,2006,Nov,76
2006-12,2006,Dec,76
2007-01,2007,Jan,76
2007-02,2007,Feb,76
2007-03,2007,Mar,76
2007-04,2007,Apr,76
2007-05,2007,May,75
2007-06,2007,Jun,75
2007-07,2007,Jul,75
2007-08,2007,Aug,75
2007-09,2007,Sep,75
2007-10,2007,Oct,75
2007-11,2007,Nov,75
2007-12,2007,Dec,75
2008-01,2008,Jan,76
2008-02,2008,Feb,75
2008-03,2008,Mar,75
2008-04,2008,Apr,75
2008-05,2008,May,75
2008-06,2008,Jun,75
2008-07,2008,Jul,75
2008-08,2008,Aug,75
2008-09,2008,Sep,75
2008-10,2008,Oct,75
2008-11,2008,Nov,75
2008-12,2008,Dec,75
2009-01,2009,Jan,75
2009-02,2009,Feb,75
2009-03,2009,Mar,74
2009-04,2009,Apr,75
2009-05,2009,May,75
2009-06,2009,Jun,75
