yearAndMonth,Year,Month,Unemployment(in thousands)
2018-08,2018,Aug,68
2018-09,2018,Sep,68
2018-10,2018,Oct,68
2018-11,2018,Nov,69
2018-12,2018,Dec,68
2019-01,2019,Jan,69
2019-02,2019,Feb,69
2019-03,2019,Mar,69
2019-04,2019,Apr,69
2019-05,2019,May,69
2019-06,2019,Jun,69
2019-07,2019,Jul,69
2019-08,2019,Aug,69
2019-09,2019,Sep,69
2019-10,2019,Oct,69
2019-11,2019,Nov,69
2019-12,2019,Dec,69
2020-01,2020,Jan,69
2020-02,2020,Feb,69
2020-03,2020,Mar,68
2020-04,2020,Apr,59
2020-05,2020,May,61
2020-06,2020,Jun,62
2020-07,2020,Jul,63
2020-08,2020,Aug,64
2020-09,2020,Sep,64
2020-10,2020,Oct,65
2020-11,2020,Nov,65
2020-12,2020,Dec,65
2021-01,2021,Jan,65
2021-02,2021,Feb,65
2021-03,2021,Mar,65
2021-04,2021,Apr,65
2021-05,2021,May,65
2021-06,2021,Jun,65
2021-07,2021,Jul,66
2021-08,2021,Aug,66
2021-09,2021,Sep,66
2021-10,2021,Oct,66
2021-11,2021,Nov,67
2021-12,2021,Dec,67
2022-01,2022,Jan,67
2022-02,2022,Feb,67
2022-03,2022,Mar,68
2022-04,2022,Apr,67
2022-05,2022,May,67
2022-06,2022,Jun,67
2022-07,2022,Jul,67
2022-08,2022,Aug,67
2022-09,2022,Sep,68
2022-10,2022,Oct,68
2022-11,2022,Nov,67
2022-12,2022,Dec,68
2023-01,2023,Jan,67
2023-02,2023,Feb,67
2023-03,2023,Mar,68
2023-04,2023,Apr,68
2023-05,2023,May,67
2023-06,2023,Jun,68
2023-07,2023,Jul,68
2023-08,2023,Aug,67
2023-09,2023,Sep,67
